caption,party,leader,seat,pct,vote
Εκλογική Αναμέτρηση 25/6/2023 Κ' Βουλευτική Περίοδος 25/6/2023,Νέα Δημοκρατία,Μητσοτάκης Κυριάκος του Κωνσταντίνου,158,40.56,"2,114,780.0"
Εκλογική Αναμέτρηση 25/6/2023 Κ' Βουλευτική Περίοδος 25/6/2023,Συνασπισμός Ριζοσπαστικής Αριστεράς - Προοδευτική Συμμαχία,Τσίπρας Αλέξιος του Παύλου,47,17.83,"929,968.0"
Εκλογική Αναμέτρηση 25/6/2023 Κ' Βουλευτική Περίοδος 25/6/2023,ΠΑΣΟΚ - Κίνημα Αλλαγής,Ανδρουλάκης Νικόλαος του Μαρίνου,32,11.84,"617,574.0"
Εκλογική Αναμέτρηση 25/6/2023 Κ' Βουλευτική Περίοδος 25/6/2023,Κομμουνιστικό Κόμμα Ελλάδας,Κουτσούμπας Δημήτριος του Αποστόλου,21,7.69,"401,187.0"
Εκλογική Αναμέτρηση 25/6/2023 Κ' Βουλευτική Περίοδος 25/6/2023,Σπαρτιάτες,Στίγκας Βασίλειος του Αθανασίου,12,4.63,"241,633.0"
Εκλογική Αναμέτρηση 25/6/2023 Κ' Βουλευτική Περίοδος 25/6/2023,Ελληνική Λύση - Κυριάκος Βελόπουλος,Βελόπουλος Κυριάκος του Ιωσήφ,12,4.44,"231,378.0"
Εκλογική Αναμέτρηση 25/6/2023 Κ' Βουλευτική Περίοδος 25/6/2023,"Δημοκρατικό Πατριωτικό Κίνημα ""ΝΙΚΗ""",Νατσιός Δημήτριος του Ιωάννη,10,3.69,"192,239.0"
Εκλογική Αναμέτρηση 25/6/2023 Κ' Βουλευτική Περίοδος 25/6/2023,Πλεύση Ελευθερίας - Ζωή Κωνσταντοπούλου,Κωνσταντοπούλου Ζωή του Νικολάου,8,3.17,"165,210.0"
Εκλογική Αναμέτρηση 21/5/2023 ΙΘ' Βουλευτική Περίοδος 21/5/2023 έως 29/5/2023,Νέα Δημοκρατία,Μητσοτάκης Κυριάκος του Κωνσταντίνου,146,40.79,"2,407,860.0"
Εκλογική Αναμέτρηση 21/5/2023 ΙΘ' Βουλευτική Περίοδος 21/5/2023 έως 29/5/2023,Συνασπισμός Ριζοσπαστικής Αριστεράς,Τσίπρας Αλέξιος του Παύλου,71,20.07,"1,184,500.0"
Εκλογική Αναμέτρηση 21/5/2023 ΙΘ' Βουλευτική Περίοδος 21/5/2023 έως 29/5/2023,Κίνημα Αλλαγής,Ανδρουλάκης Νικόλαος του Μαρίνου,41,11.46,"676,166.0"
Εκλογική Αναμέτρηση 21/5/2023 ΙΘ' Βουλευτική Περίοδος 21/5/2023 έως 29/5/2023,Κομμουνιστικό Κόμμα Ελλάδας,Κουτσούμπας Δημήτριος του Αποστόλου,26,7.23,"426,741.0"
Εκλογική Αναμέτρηση 21/5/2023 ΙΘ' Βουλευτική Περίοδος 21/5/2023 έως 29/5/2023,Ελληνική Λύση - Κυριάκος Βελόπουλος,Βελόπουλος Κυριάκος του Ιωσήφ,16,4.45,"262,529.0"
Εκλογική Αναμέτρηση 7/7/2019 ΙΗ' Βουλευτική Περίοδος 7/7/2019 έως 22/4/2023,Νέα Δημοκρατία,Μητσοτάκης Κυριάκος του Κωνσταντίνου,158,39.85,"2,251,426.0"
Εκλογική Αναμέτρηση 7/7/2019 ΙΗ' Βουλευτική Περίοδος 7/7/2019 έως 22/4/2023,Συνασπισμός Ριζοσπαστικής Αριστεράς,Τσίπρας Αλέξιος του Παύλου,86,31.53,"1,781,180.0"
Εκλογική Αναμέτρηση 7/7/2019 ΙΗ' Βουλευτική Περίοδος 7/7/2019 έως 22/4/2023,Κίνημα Αλλαγής,Γεννηματά Φωτεινή (Φώφη) του Γεωργίου,22,8.1,"457,527.0"
Εκλογική Αναμέτρηση 7/7/2019 ΙΗ' Βουλευτική Περίοδος 7/7/2019 έως 22/4/2023,Κομμουνιστικό Κόμμα Ελλάδας,Κουτσούμπας Δημήτριος του Αποστόλου,15,5.3,"299,595.0"
Εκλογική Αναμέτρηση 7/7/2019 ΙΗ' Βουλευτική Περίοδος 7/7/2019 έως 22/4/2023,Ελληνική Λύση - Κυριάκος Βελόπουλος,Βελόπουλος Κυριάκος του Ιωσήφ,10,3.7,"208,806.0"
Εκλογική Αναμέτρηση 7/7/2019 ΙΗ' Βουλευτική Περίοδος 7/7/2019 έως 22/4/2023,ΜέΡΑ25,Βαρουφάκης Ιωάννης (Γιάνης) του Γεωργίου,9,3.44,"194,233.0"
Εκλογική Αναμέτρηση 20/9/2015 ΙZ' Βουλευτική Περίοδος 20/9/2015 έως 11/06/2019,Συνασπισμός Ριζοσπαστικής Αριστεράς,Τσίπρας Αλέξιος του Παύλου,145,35.46,"1,925,904.0"
Εκλογική Αναμέτρηση 20/9/2015 ΙZ' Βουλευτική Περίοδος 20/9/2015 έως 11/06/2019,Νέα Δημοκρατία,Μεϊμαράκης Ευάγγελος - Βασίλειος του Ιωάννη,75,28.1,"1,526,205.0"
